Year,Sector,FDI Amount
2006-07,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),25.57
2007-08,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),40.53
2008-09,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),74.88
2009-10,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),39.5
2010-11,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),166.44
2011-12,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),313.75
2012-13,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),184.6
2013-14,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),212.78
2014-15,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),230.7
2015-16,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),159.13
2016-17,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),286.88
2000-01,ELECTRICAL EQUIPMENTS,79.76
2001-02,ELECTRICAL EQUIPMENTS,65.76
2002-03,ELECTRICAL EQUIPMENTS,34.71
2003-04,ELECTRICAL EQUIPMENTS,73.2
2004-05,ELECTRICAL EQUIPMENTS,97.4
2005-06,ELECTRICAL EQUIPMENTS,39.5
2006-07,ELECTRICAL EQUIPMENTS,76.85
2007-08,ELECTRICAL EQUIPMENTS,653.74
2008-09,ELECTRICAL EQUIPMENTS,417.35
2009-10,ELECTRICAL EQUIPMENTS,728.27
2010-11,ELECTRICAL EQUIPMENTS,153.9
2011-12,ELECTRICAL EQUIPMENTS,566.39
2012-13,ELECTRICAL EQUIPMENTS,195.87
2013-14,ELECTRICAL EQUIPMENTS,134.31
2014-15,ELECTRICAL EQUIPMENTS,574.83
2015-16,ELECTRICAL EQUIPMENTS,444.88
2016-17,ELECTRICAL EQUIPMENTS,2230.69
2000-01,COMPUTER SOFTWARE & HARDWARE,228.39
2001-02,COMPUTER SOFTWARE & HARDWARE,419.39
2002-03,COMPUTER SOFTWARE & HARDWARE,314.24
2003-04,COMPUTER SOFTWARE & HARDWARE,368.32
2004-05,COMPUTER SOFTWARE & HARDWARE,527.9
2005-06,COMPUTER SOFTWARE & HARDWARE,1359.97
2006-07,COMPUTER SOFTWARE & HARDWARE,2613.33
2007-08,COMPUTER SOFTWARE & HARDWARE,1382.25
2008-09,COMPUTER SOFTWARE & HARDWARE,1543.34
2009-10,COMPUTER SOFTWARE & HARDWARE,871.86
2010-11,COMPUTER SOFTWARE & HARDWARE,779.81
2011-12,COMPUTER SOFTWARE & HARDWARE,796.35
2012-13,COMPUTER SOFTWARE & HARDWARE,485.96
2013-14,COMPUTER SOFTWARE & HARDWARE,1126.27
2014-15,COMPUTER SOFTWARE & HARDWARE,2296.04
2015-16,COMPUTER SOFTWARE & HARDWARE,5904.36
2016-17,COMPUTER SOFTWARE & HARDWARE,3651.71
2000-01,ELECTRONICS,8.34
2001-02,ELECTRONICS,12.47
2002-03,ELECTRONICS,295.88
2003-04,ELECTRONICS,82.31
2004-05,ELECTRONICS,88.1
2005-06,ELECTRONICS,40.91
2006-07,ELECTRONICS,42.14
2007-08,ELECTRONICS,136.03
2008-09,ELECTRONICS,147.51
2009-10,ELECTRONICS,52.14
2010-11,ELECTRONICS,59.72
2011-12,ELECTRONICS,194.41
2012-13,ELECTRONICS,38.24
2013-14,ELECTRONICS,132.58
2014-15,ELECTRONICS,96.84
2015-16,ELECTRONICS,208.39
2016-17,ELECTRONICS,83.97
2000-01,TELECOMMUNICATIONS,177.69
2001-02,TELECOMMUNICATIONS,873.23
2002-03,TELECOMMUNICATIONS,191.6
2003-04,TELECOMMUNICATIONS,86.49
2004-05,TELECOMMUNICATIONS,118.33
2005-06,TELECOMMUNICATIONS,617.98
2006-07,TELECOMMUNICATIONS,476.51
2007-08,TELECOMMUNICATIONS,1260.7
2008-09,TELECOMMUNICATIONS,2548.63
2009-10,TELECOMMUNICATIONS,2539.26
2010-11,TELECOMMUNICATIONS,1664.5
2011-12,TELECOMMUNICATIONS,1997.24
2012-13,TELECOMMUNICATIONS,303.87
2013-14,TELECOMMUNICATIONS,1306.95
2014-15,TELECOMMUNICATIONS,2894.94
2015-16,TELECOMMUNICATIONS,1324.4
2016-17,TELECOMMUNICATIONS,5563.69
2000-01,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),81.5
2001-02,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),4.54
2002-03,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),36.5
2003-04,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),13.72
2004-05,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),9.85
2005-06,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),55.93
2006-07,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),75.7
2007-08,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),288.49
2008-09,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),735.04
2009-10,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),490.83
2010-11,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),412.11
2011-12,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),675.96
2012-13,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),404.04
2013-14,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),428.52
2014-15,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),254.96
2015-16,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),1009.34
2016-17,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),1516.68
2000-01,AUTOMOBILE INDUSTRY,195.33
2001-02,AUTOMOBILE INDUSTRY,235.76
2002-03,AUTOMOBILE INDUSTRY,419.96
2003-04,AUTOMOBILE INDUSTRY,119.09
2004-05,AUTOMOBILE INDUSTRY,121.97
2005-06,AUTOMOBILE INDUSTRY,139.93
2006-07,AUTOMOBILE INDUSTRY,260.72
2007-08,AUTOMOBILE INDUSTRY,656.1
2008-09,AUTOMOBILE INDUSTRY,1150.03
2009-10,AUTOMOBILE INDUSTRY,1236.29
2010-11,AUTOMOBILE INDUSTRY,1299.41
2011-12,AUTOMOBILE INDUSTRY,922.99
2012-13,AUTOMOBILE INDUSTRY,1537.28
2013-14,AUTOMOBILE INDUSTRY,1517.28
2014-15,AUTOMOBILE INDUSTRY,2725.64
2015-16,AUTOMOBILE INDUSTRY,2526.82
2016-17,AUTOMOBILE INDUSTRY,1609.32
2000-01,AIR TRANSPORT (INCLUDING AIR FREIGHT),0
2001-02,AIR TRANSPORT (INCLUDING AIR FREIGHT),0
2002-03,AIR TRANSPORT (INCLUDING AIR FREIGHT),3.8
2003-04,AIR TRANSPORT (INCLUDING AIR FREIGHT),0.94
2004-05,AIR TRANSPORT (INCLUDING AIR FREIGHT),4.11
2005-06,AIR TRANSPORT (INCLUDING AIR FREIGHT),10.27
2006-07,AIR TRANSPORT (INCLUDING AIR FREIGHT),62.29
2007-08,AIR TRANSPORT (INCLUDING AIR FREIGHT),99.08
2008-09,AIR TRANSPORT (INCLUDING AIR FREIGHT),61.37
2009-10,AIR TRANSPORT (INCLUDING AIR FREIGHT),23.71
2010-11,AIR TRANSPORT (INCLUDING AIR FREIGHT),136.6
2011-12,AIR TRANSPORT (INCLUDING AIR FREIGHT),31.22
2012-13,AIR TRANSPORT (INCLUDING AIR FREIGHT),15.89
2013-14,AIR TRANSPORT (INCLUDING AIR FREIGHT),45.95
2014-15,AIR TRANSPORT (INCLUDING AIR FREIGHT),74.56
2015-16,AIR TRANSPORT (INCLUDING AIR FREIGHT),361.25
2016-17,AIR TRANSPORT (INCLUDING AIR FREIGHT),83.4
2000-01,SEA TRANSPORT,2.41
2001-02,SEA TRANSPORT,19.81
2002-03,SEA TRANSPORT,29.32
2003-04,SEA TRANSPORT,21.95
2004-05,SEA TRANSPORT,36.95
2005-06,SEA TRANSPORT,53.63
2006-07,SEA TRANSPORT,72.52
2007-08,SEA TRANSPORT,128.36
2008-09,SEA TRANSPORT,50.21
2009-10,SEA TRANSPORT,284.85
2010-11,SEA TRANSPORT,300.51
2011-12,SEA TRANSPORT,129.36
2012-13,SEA TRANSPORT,64.62
2013-14,SEA TRANSPORT,20.49
2014-15,SEA TRANSPORT,333.22
2015-16,SEA TRANSPORT,429.3
2016-17,SEA TRANSPORT,735.06
2000-01,PORTS,0
2001-02,PORTS,15.48
2002-03,PORTS,2.03
2003-04,PORTS,116.36
2004-05,PORTS,13.04
2005-06,PORTS,0.5
2006-07,PORTS,0
2007-08,PORTS,918.18
2008-09,PORTS,493.15
2009-10,PORTS,65.41
2010-11,PORTS,10.92
2011-12,PORTS,0
2012-13,PORTS,0
2013-14,PORTS,0.31
2014-15,PORTS,1.9
2015-16,PORTS,0
2016-17,PORTS,0
2000-01,RAILWAY RELATED COMPONENTS,0
2001-02,RAILWAY RELATED COMPONENTS,0
2002-03,RAILWAY RELATED COMPONENTS,0.56
2003-04,RAILWAY RELATED COMPONENTS,2.95
2004-05,RAILWAY RELATED COMPONENTS,10.75
2005-06,RAILWAY RELATED COMPONENTS,22.62
2006-07,RAILWAY RELATED COMPONENTS,25.82
2007-08,RAILWAY RELATED COMPONENTS,12.41
2008-09,RAILWAY RELATED COMPONENTS,18.01
2009-10,RAILWAY RELATED COMPONENTS,34.43
2010-11,RAILWAY RELATED COMPONENTS,70.66
2011-12,RAILWAY RELATED COMPONENTS,42.27
2012-13,RAILWAY RELATED COMPONENTS,29.85
2013-14,RAILWAY RELATED COMPONENTS,236.93
2014-15,RAILWAY RELATED COMPONENTS,129.73
2015-16,RAILWAY RELATED COMPONENTS,73.99
2016-17,RAILWAY RELATED COMPONENTS,87.57
2000-01,INDUSTRIAL MACHINERY,5.48
2001-02,INDUSTRIAL MACHINERY,32.04
2002-03,INDUSTRIAL MACHINERY,19.4
2003-04,INDUSTRIAL MACHINERY,3.18
2004-05,INDUSTRIAL MACHINERY,8.89
2005-06,INDUSTRIAL MACHINERY,42.8
2006-07,INDUSTRIAL MACHINERY,25.96
2007-08,INDUSTRIAL MACHINERY,119.57
2008-09,INDUSTRIAL MACHINERY,110.54
2009-10,INDUSTRIAL MACHINERY,341.88
2010-11,INDUSTRIAL MACHINERY,467.92
2011-12,INDUSTRIAL MACHINERY,620.66
2012-13,INDUSTRIAL MACHINERY,503.83
2013-14,INDUSTRIAL MACHINERY,477.38
2014-15,INDUSTRIAL MACHINERY,716.79
2015-16,INDUSTRIAL MACHINERY,568.26
2016-17,INDUSTRIAL MACHINERY,329.3
2000-01,MACHINE TOOLS,1.42
2001-02,MACHINE TOOLS,4.31
2002-03,MACHINE TOOLS,14.17
2003-04,MACHINE TOOLS,54.51
2004-05,MACHINE TOOLS,11.04
2005-06,MACHINE TOOLS,23
2006-07,MACHINE TOOLS,37.28
2007-08,MACHINE TOOLS,56.87
2008-09,MACHINE TOOLS,45.66
2009-10,MACHINE TOOLS,133.83
2010-11,MACHINE TOOLS,11.63
2011-12,MACHINE TOOLS,127.87
2012-13,MACHINE TOOLS,101.39
2013-14,MACHINE TOOLS,64.52
2014-15,MACHINE TOOLS,24.06
2015-16,MACHINE TOOLS,126.38
2016-17,MACHINE TOOLS,23.89
2000-01,AGRICULTURAL MACHINERY,3.64
2001-02,AGRICULTURAL MACHINERY,1.04
2002-03,AGRICULTURAL MACHINERY,13.48
2003-04,AGRICULTURAL MACHINERY,47.54
2004-05,AGRICULTURAL MACHINERY,0
2005-06,AGRICULTURAL MACHINERY,92.71
2006-07,AGRICULTURAL MACHINERY,25.19
2007-08,AGRICULTURAL MACHINERY,6.72
2008-09,AGRICULTURAL MACHINERY,5.57
2009-10,AGRICULTURAL MACHINERY,1.88
2010-11,AGRICULTURAL MACHINERY,0.49
2011-12,AGRICULTURAL MACHINERY,2.77
2012-13,AGRICULTURAL MACHINERY,95.41
2013-14,AGRICULTURAL MACHINERY,48.78
2014-15,AGRICULTURAL MACHINERY,72.35
2015-16,AGRICULTURAL MACHINERY,16.44
2016-17,AGRICULTURAL MACHINERY,15.19
2000-01,EARTH-MOVING MACHINERY,0
2001-02,EARTH-MOVING MACHINERY,0.11
2002-03,EARTH-MOVING MACHINERY,13.77
2003-04,EARTH-MOVING MACHINERY,0.01
2004-05,EARTH-MOVING MACHINERY,0.1
2005-06,EARTH-MOVING MACHINERY,50.87
2006-07,EARTH-MOVING MACHINERY,0.99
2007-08,EARTH-MOVING MACHINERY,67.94
2008-09,EARTH-MOVING MACHINERY,2.27
2009-10,EARTH-MOVING MACHINERY,15.62
2010-11,EARTH-MOVING MACHINERY,1.77
2011-12,EARTH-MOVING MACHINERY,16.4
2012-13,EARTH-MOVING MACHINERY,5.1
2013-14,EARTH-MOVING MACHINERY,34.44
2014-15,EARTH-MOVING MACHINERY,30.11
2015-16,EARTH-MOVING MACHINERY,97.66
2016-17,EARTH-MOVING MACHINERY,52.23
2000-01,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,44.5
2001-02,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,61.4
2002-03,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,45.07
2003-04,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,22.73
2004-05,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,12.83
2005-06,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,51.22
2006-07,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,84.44
2007-08,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,211.15
2008-09,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,142.31
2009-10,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,149.59
2010-11,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,108.67
2011-12,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,1295.34
2012-13,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,89.45
2013-14,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,288.13
2014-15,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,186.69
2015-16,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,274.57
2016-17,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,245.24
2000-01,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",12.2
2001-02,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",4.87
2002-03,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2.33
2003-04,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",10.41
2004-05,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",14.13
2005-06,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",25.54
2006-07,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",5.42
2007-08,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",9.83
2008-09,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",12.63
2009-10,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",78.98
2010-11,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",25.12
2011-12,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",29.04
2012-13,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",24.33
2013-14,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",21.13
2014-15,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",33.39
2015-16,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",36.68
2016-17,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",7.44
2000-01,MEDICAL AND SURGICAL APPLIANCES,5.42
2001-02,MEDICAL AND SURGICAL APPLIANCES,42.35
2002-03,MEDICAL AND SURGICAL APPLIANCES,21.63
2003-04,MEDICAL AND SURGICAL APPLIANCES,1.97
2004-05,MEDICAL AND SURGICAL APPLIANCES,5.35
2005-06,MEDICAL AND SURGICAL APPLIANCES,1.52
2006-07,MEDICAL AND SURGICAL APPLIANCES,13.43
2007-08,MEDICAL AND SURGICAL APPLIANCES,13.17
2008-09,MEDICAL AND SURGICAL APPLIANCES,75.42
2009-10,MEDICAL AND SURGICAL APPLIANCES,167.35
2010-11,MEDICAL AND SURGICAL APPLIANCES,32.22
2011-12,MEDICAL AND SURGICAL APPLIANCES,141.61
2012-13,MEDICAL AND SURGICAL APPLIANCES,83.02
2013-14,MEDICAL AND SURGICAL APPLIANCES,173.48
2014-15,MEDICAL AND SURGICAL APPLIANCES,145.93
2015-16,MEDICAL AND SURGICAL APPLIANCES,173.26
2016-17,MEDICAL AND SURGICAL APPLIANCES,479.71
2000-01,INDUSTRIAL INSTRUMENTS,1.01
2001-02,INDUSTRIAL INSTRUMENTS,5.07
2002-03,INDUSTRIAL INSTRUMENTS,1.31
2003-04,INDUSTRIAL INSTRUMENTS,0.3
2004-05,INDUSTRIAL INSTRUMENTS,1.08
2005-06,INDUSTRIAL INSTRUMENTS,0.38
2006-07,INDUSTRIAL INSTRUMENTS,0
2007-08,INDUSTRIAL INSTRUMENTS,2.23
2008-09,INDUSTRIAL INSTRUMENTS,17.48
2009-10,INDUSTRIAL INSTRUMENTS,7.61
2010-11,INDUSTRIAL INSTRUMENTS,25.48
2011-12,INDUSTRIAL INSTRUMENTS,3.99
2012-13,INDUSTRIAL INSTRUMENTS,0.58
2013-14,INDUSTRIAL INSTRUMENTS,0.53
2014-15,INDUSTRIAL INSTRUMENTS,0.85
2015-16,INDUSTRIAL INSTRUMENTS,7.42
2016-17,INDUSTRIAL INSTRUMENTS,0.8
2000-01,SCIENTIFIC INSTRUMENTS,8.07
2001-02,SCIENTIFIC INSTRUMENTS,2.33
2002-03,SCIENTIFIC INSTRUMENTS,0.19
2003-04,SCIENTIFIC INSTRUMENTS,0.02
2004-05,SCIENTIFIC INSTRUMENTS,0.03
2005-06,SCIENTIFIC INSTRUMENTS,0.1
2006-07,SCIENTIFIC INSTRUMENTS,0.07
2007-08,SCIENTIFIC INSTRUMENTS,0
2008-09,SCIENTIFIC INSTRUMENTS,0.83
2009-10,SCIENTIFIC INSTRUMENTS,0
2010-11,SCIENTIFIC INSTRUMENTS,2.49
2011-12,SCIENTIFIC INSTRUMENTS,7.08
2012-13,SCIENTIFIC INSTRUMENTS,73.28
2013-14,SCIENTIFIC INSTRUMENTS,45.08
2014-15,SCIENTIFIC INSTRUMENTS,32.34
2015-16,SCIENTIFIC INSTRUMENTS,6.36
2016-17,SCIENTIFIC INSTRUMENTS,76.66
2000-01,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2001-02,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2002-03,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2003-04,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2004-05,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2005-06,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2006-07,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2007-08,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",1.27
2008-09,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2009-10,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2010-11,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2011-12,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2012-13,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",6.71
2013-14,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2014-15,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2015-16,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2016-17,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
2000-01,FERTILIZERS,0
2001-02,FERTILIZERS,0
2002-03,FERTILIZERS,16.38
2003-04,FERTILIZERS,21.58
2004-05,FERTILIZERS,13.46
2005-06,FERTILIZERS,4.24
2006-07,FERTILIZERS,5.01
2007-08,FERTILIZERS,1.95
2008-09,FERTILIZERS,133.75
2009-10,FERTILIZERS,8.2
2010-11,FERTILIZERS,18.18
2011-12,FERTILIZERS,32.6
2012-13,FERTILIZERS,42.55
2013-14,FERTILIZERS,20.65
2014-15,FERTILIZERS,225.32
2015-16,FERTILIZERS,20.93
2016-17,FERTILIZERS,0.89
2000-01,CHEMICALS (OTHER THAN FERTILIZERS),111.14
2001-02,CHEMICALS (OTHER THAN FERTILIZERS),87.23
2002-03,CHEMICALS (OTHER THAN FERTILIZERS),128.12
2003-04,CHEMICALS (OTHER THAN FERTILIZERS),20.24
2004-05,CHEMICALS (OTHER THAN FERTILIZERS),69.39
2005-06,CHEMICALS (OTHER THAN FERTILIZERS),387.72
2006-07,CHEMICALS (OTHER THAN FERTILIZERS),138.85
2007-08,CHEMICALS (OTHER THAN FERTILIZERS),233.7
2008-09,CHEMICALS (OTHER THAN FERTILIZERS),651.22
2009-10,CHEMICALS (OTHER THAN FERTILIZERS),365.94
2010-11,CHEMICALS (OTHER THAN FERTILIZERS),2354.4
2011-12,CHEMICALS (OTHER THAN FERTILIZERS),4040.71
2012-13,CHEMICALS (OTHER THAN FERTILIZERS),292.16
2013-14,CHEMICALS (OTHER THAN FERTILIZERS),786.76
2014-15,CHEMICALS (OTHER THAN FERTILIZERS),762.76
2015-16,CHEMICALS (OTHER THAN FERTILIZERS),1469.95
2016-17,CHEMICALS (OTHER THAN FERTILIZERS),1392.8
2000-01,PHOTOGRAPHIC RAW FILM AND PAPER,0
2001-02,PHOTOGRAPHIC RAW FILM AND PAPER,0
